fips,average_20,complete_20,average_48,complete_48,average_50,complete_50,average_75,complete_75
US53057,3,17,26,35,12,35,12,35
US53059,3,17,26,35,12,35,12,35
US53061,3,17,26,35,12,35,12,35
US53063,3,17,26,35,12,35,12,35
US53065,3,3,26,4,12,0,12,5
US53067,3,17,26,35,12,35,12,35
US53069,2,3,9,22,9,22,23,0
US53071,3,17,26,35,12,35,12,35
US53073,3,17,26,35,12,35,12,35
US53075,3,17,26,35,12,35,12,35
US53077,3,17,26,35,12,35,12,35
US54001,2,6,14,30,14,30,2,30
US54003,15,9,12,47,5,47,45,7
US54005,2,3,14,4,14,0,2,3
US54007,2,3,9,4,9,0,23,3
US54009,13,0,47,41,47,41,11,20
US54011,2,6,14,30,14,30,2,30
US54013,2,3,9,4,9,0,55,5
US54015,2,3,9,4,9,0,23,3
US54017,2,3,9,12,9,12,55,18
US54019,2,6,14,0,14,9,2,37
US54021,2,3,9,4,9,0,23,3
US54023,15,6,12,30,5,30,45,30
US54025,2,3,14,4,14,0,2,5
US54027,15,6,12,30,5,30,45,30
US54029,13,0,47,41,47,41,11,20
US54031,15,6,12,30,5,30,45,30
US54033,2,6,14,30,14,30,2,30
US54035,2,3,9,4,9,0,55,5
US54037,15,9,12,47,5,47,45,7
US54039,2,6,14,30,14,30,2,30
US54041,2,6,14,30,14,30,2,30
US54043,2,3,14,4,14,0,2,3
US54045,2,3,14,4,14,0,2,3
US54047,2,3,14,22,14,22,2,0
US54049,2,6,14,30,14,30,2,30
US54051,13,0,47,41,47,41,11,20
US54053,13,3,24,4,11,0,20,5
US54055,2,3,14,22,14,22,2,0
US54057,15,6,12,30,5,30,45,30
US54059,2,3,14,4,14,0,2,3
US54061,2,6,14,30,14,30,2,30
US54063,2,3,9,22,9,22,23,0
US54065,15,6,12,30,5,30,45,30
US54067,2,6,14,0,14,9,2,37
US54069,13,0,47,41,47,41,11,20
US54071,2,3,14,4,14,0,2,5
US54073,2,3,9,12,9,12,55,18
US54075,2,3,14,4,14,0,2,5
US54077,2,6,14,30,14,30,2,30
US54079,2,6,14,30,14,30,2,30
US54081,2,6,14,0,14,9,2,37
US54083,2,6,14,30,14,30,2,30
US54085,2,3,9,4,9,0,55,5
US54087,2,3,9,4,9,0,55,5
US54089,2,3,14,22,14,22,2,0
US54091,2,6,14,30,14,30,2,30
US54093,2,3,14,4,14,0,2,5
US54095,2,3,9,12,9,12,55,18
US54097,2,6,14,30,14,30,2,30
US54099,2,6,14,30,14,30,2,30
US54101,2,3,9,4,9,0,23,3
US54103,2,3,9,12,9,12,55,18
US54105,2,3,14,4,14,0,2,3
US54107,2,3,9,12,9,12,55,18
US54109,2,3,14,4,14,0,2,3
US55001,10,1,27,29,27,29,27,29
US55003,0,3,45,4,45,0,22,3
US55005,0,3,45,12,45,12,22,18
US55007,0,3,45,12,45,12,22,18
US55009,10,1,27,29,27,29,27,29
US55011,2,3,9,22,9,22,23,0
US55013,0,3,45,12,45,12,22,18
